image,recall,rmse,psnr,ssim,fsim,issm,sre,sam,uiq,inference_time
200,0.1916,0.0138,37.2129,0.6228,0.3136,0.0,45.5078,0.002,0.0007,1.0993
201,0.2406,0.0111,39.0941,0.6574,0.3557,0.0,44.7487,0.0015,0.0011,1.1188
202,0.3782,0.0084,41.5465,0.809,0.3203,0.0,44.5458,0.0026,0.0019,1.1005
203,0.1857,0.0108,39.3397,0.6672,0.3322,0.0,45.0793,0.0018,0.0008,1.1138
204,0.2376,0.0108,39.305,0.6808,0.3322,0.0,44.8801,0.0018,0.001,1.0996
205,0.2494,0.0113,38.9642,0.6652,0.3413,0.0,44.8681,0.0018,0.0012,1.1066
206,0.1212,0.0126,38.0173,0.6041,0.3311,0.0,45.5218,0.0019,0.0008,1.0993
207,0.19,0.0117,38.6399,0.6436,0.3245,0.0,44.864,0.0016,0.0003,1.1115
208,0.2901,0.0107,39.4111,0.7156,0.3244,0.0,44.424,0.0021,0.0006,1.1038
209,0.2527,0.0105,39.5742,0.6792,0.3101,0.0,44.7943,0.0019,0.0005,1.1229
210,0.2958,0.0107,39.4468,0.6993,0.3162,0.0,44.8453,0.0019,0.0011,1.121
211,0.1814,0.0137,37.2972,0.6391,0.3148,0.0,45.8134,0.0023,0.0015,1.1002
212,0.2247,0.0136,37.3231,0.6346,0.3252,0.0,45.1246,0.0016,0.0008,1.1254
213,0.2621,0.0116,38.691,0.6904,0.3427,0.0,44.6203,0.002,0.0019,1.1004
214,0.2623,0.0102,39.8287,0.6583,0.3778,0.0,43.3076,0.0005,-0.0001,1.118
215,0.1723,0.0091,40.8377,0.7309,0.3475,0.0,43.9404,0.0016,0.0006,1.116
216,0.1909,0.0153,36.2846,0.5796,0.3187,0.0,45.7475,0.002,0.001,1.1011
217,0.2099,0.0089,41.0427,0.749,0.3196,0.0,44.4746,0.0022,0.0006,1.1189
218,0.2164,0.0108,39.3086,0.7043,0.2997,0.0,45.562,0.0024,0.0015,1.1146
219,0.1972,0.0103,39.7156,0.7072,0.3102,0.0,45.0831,0.0023,-0.0002,1.1007
220,0.1302,0.0125,38.0756,0.6216,0.3406,0.0,45.6478,0.0018,0.0011,1.1214
221,0.3078,0.0092,40.7514,0.7314,0.343,0.0,43.7519,0.0015,0.0003,1.0989
222,0.1514,0.0133,37.526,0.5831,0.3374,0.0,45.4918,0.0017,0.0008,1.1182
223,0.1159,0.0126,37.9719,0.6025,0.3373,0.0,45.3455,0.0018,0.001,1.1052
224,0.3103,0.0091,40.8065,0.7705,0.3181,0.0,44.3883,0.0023,0.001,1.1197
225,0.3071,0.0106,39.5016,0.6849,0.3316,0.0,44.8531,0.0019,0.0013,1.1005
226,0.3813,0.0096,40.3357,0.7515,0.3208,0.0,43.7429,0.0021,0.0009,1.1186
227,0.2974,0.0095,40.4343,0.7398,0.3297,0.0,44.971,0.0023,0.001,1.1021
228,0.249,0.0115,38.7536,0.691,0.3159,0.0,44.8392,0.002,0.0018,1.1281
