image,recall,rmse,psnr,ssim,fsim,issm,sre,sam,uiq,inference_time
292,0.2479,0.0093,40.6545,0.7108,0.3635,0.0,43.9998,0.0015,0.0005,1.0992
293,0.3473,0.0092,40.6945,0.772,0.2974,0.0,43.623,0.002,0.0003,1.1126
294,0.2531,0.0154,36.2667,0.6446,0.3015,0.0,45.5654,0.0022,0.0003,1.0987
295,0.1792,0.0113,38.9521,0.6455,0.268,0.0,45.3098,0.002,0.0002,1.1091
296,0.2997,0.0095,40.4409,0.7401,0.3173,0.0,44.1874,0.0021,0.0005,1.0993
297,0.1635,0.0141,37.0416,0.59,0.3199,0.0,45.6103,0.0021,0.0011,1.1109
298,0.0904,0.0126,38.0092,0.5865,0.2945,0.0,45.5667,0.0018,0.0001,1.0981
299,0.2201,0.0144,36.8456,0.6024,0.3293,0.0,45.5335,0.0019,0.0009,1.1157
300,0.1525,0.0141,37.017,0.5732,0.32,0.0,45.573,0.0018,0.0001,1.0967
Total,0.2334,0.0115,38.914,0.6722,0.3284,0.0,44.8274,0.0019,0.0009,1.1366
