image,recall,rmse,psnr,ssim,fsim,issm,sre,sam,uiq,inference_time
168,0.5499,0.009,40.8777,0.7885,0.4095,0.0,42.0185,0.0009,0.0031,1.1109
169,0.4225,0.007,43.0397,0.802,0.3822,0.0,42.9817,0.0014,0.0043,1.0954
170,0.5528,0.0076,42.3269,0.7884,0.4294,0.0,42.1039,0.0007,0.0071,1.1095
171,0.6545,0.006,44.4338,0.8701,0.3884,0.0,42.0235,0.0011,0.0039,1.1127
172,0.61,0.0069,43.2099,0.8365,0.3937,0.0,42.7418,0.0012,0.006,1.0971
173,0.5274,0.007,43.1073,0.8251,0.3885,0.0,42.9755,0.0012,0.0053,1.1151
174,0.534,0.0076,42.334,0.7838,0.4054,0.0,41.945,0.0006,0.0026,1.1118
175,0.5222,0.0065,43.6876,0.8405,0.3718,0.0,42.7525,0.0016,0.0062,1.0954
176,0.463,0.0086,41.327,0.7869,0.3929,0.0,43.6174,0.0013,0.0033,1.112
177,0.5739,0.0061,44.3095,0.8603,0.373,0.0,42.7718,0.0018,0.0097,1.1117
178,0.5031,0.0071,42.9631,0.8348,0.3906,0.0,43.8244,0.0013,0.0169,1.0955
179,0.5146,0.0062,44.1072,0.8328,0.3844,0.0,42.0836,0.0012,0.0108,1.118
180,0.6389,0.0061,44.2453,0.8663,0.3933,0.0,42.0322,0.0011,0.0062,1.1114
181,0.5977,0.006,44.4967,0.8585,0.3986,0.0,41.9819,0.001,0.0135,1.0947
182,0.3641,0.012,38.3806,0.6605,0.3952,0.0,43.4651,0.0005,0.0022,1.115
183,0.5231,0.0072,42.9005,0.8201,0.3826,0.0,43.3797,0.0013,0.0047,1.1116
184,0.589,0.0068,43.3493,0.8598,0.4142,0.0,42.6737,0.0012,0.0091,1.0955
185,0.638,0.0059,44.6046,0.8653,0.3833,0.0,41.8088,0.001,0.0056,1.1119
186,0.4796,0.0092,40.6955,0.8176,0.3865,0.0,43.6535,0.0017,0.0102,1.1049
187,0.4129,0.0069,43.2056,0.7925,0.3684,0.0,42.4256,0.0007,0.0034,1.0953
188,0.497,0.0071,43.0059,0.8015,0.3785,0.0,42.8593,0.0014,0.0038,1.1156
